Kurs,Sex,sw_i,sw_r,kw_i,kw_r,koop,ss_dgk,ss_pgk,ss_igk,ss_vgk,ss_kgk,Out_just_1,Out_just_2,Out_just_3,Out_just_4,Out_just_5,Out_just_6,Out_just_7,Out_effi_1,Out_effi_2,Out_effi_3,Out_effi_4,Out_effi_5,Out_effi_6,Out_effi_7
2,1,0.428571428571429,0.4375,0.55,0.8,0.238095238095238,5,4.5,4.75,5.33333333333333,5.5,0,0.333333333333333,0.142857142857143,0.2,0.166666666666667,0,,0.041,0.031,0.069,0.111,0.058,0.063,
2,1,0.476190476190476,0.4375,0.6,0.466666666666667,0.238095238095238,5,4.25,4.25,4.33333333333333,4.5,0.375,0.333333333333333,,0.4,0.5,,0.375,0.026,0.093,,0.044,0.091,,0.102
3,1,0.523809523809524,0.375,0.7,0.666666666666667,0.261904761904762,4.4,4,5.25,4.33333333333333,4.75,0,0.166666666666667,0.428571428571429,0.2,0.5,0.125,0.375,0.1,0.14,0.07,0.106,0.088,0.097,0.039
1,2,0.761904761904762,0.4375,0.85,0.666666666666667,0.321428571428571,4.6,5.5,5.5,5.33333333333333,4.75,0.25,,0.714285714285714,0.8,0.666666666666667,,0.625,0.055,,0.08,0.032,0.045,,0.074
3,1,0.523809523809524,0.25,0.6,0.6,0.261904761904762,4.6,4.25,5,4.33333333333333,5.25,0.125,,,0.6,0.666666666666667,0.5,0.25,0.065,,,0.085,0.102,0.06,0.071
3,1,0.761904761904762,0.6875,0.75,1,0.321428571428571,4.6,4.75,4.25,5.33333333333333,4.75,0.875,0.666666666666667,0.571428571428571,,0.666666666666667,,,0.049,0.104,0.078,,0.051,,
3,2,0.476190476190476,0.25,0.45,0.8,0.25,4.6,3.5,5.25,3.66666666666667,5.75,0,0.333333333333333,,,0.166666666666667,,,0.053,0.114,,,0.134,,
2,1,0.523809523809524,0.3125,0.45,0.6,0.297619047619048,4,4.25,4.25,5,3.75,0.5,0.666666666666667,,,0.666666666666667,,0.5,0.064,0.071,,,0.088,,0.155
2,1,0.619047619047619,0.3125,0.45,0.4,0.369047619047619,5,5,4.25,4,5,0,0,,0,,0.25,0,0.047,0.047,,0.04,,0.04,0.053
2,1,0.571428571428571,0.5625,0.65,0.666666666666667,0.297619047619048,4.4,3,5.25,4.66666666666667,5.25,0.25,0.166666666666667,0.571428571428571,0.2,0.333333333333333,0.125,0,0.081,0.035,0.077,0.052,0.047,0.032,0.041
1,1,0.523809523809524,0.5,0.65,0.933333333333333,0.357142857142857,5,4.25,4.5,4.66666666666667,4.25,0.125,0.166666666666667,,0.2,0.333333333333333,0.25,0.375,0.063,0.104,,0.058,0.053,0.129,0.035
3,1,0.619047619047619,0.5625,0.6,0.6,0.273809523809524,4.8,4.25,5.25,5,4,0.5,0.5,0.714285714285714,,0.166666666666667,0.5,0.25,0.119,0.112,0.081,,0.108,0.116,0.054
2,1,0.714285714285714,0.625,0.85,0.666666666666667,0.369047619047619,4.8,4,4.5,5.33333333333333,4.5,0.5,0.666666666666667,0.428571428571429,,0.666666666666667,0.625,0.625,0.054,0.029,0.051,,0.045,0.082,0.032
